id,created_at,operation_code,status,source,actor_user_id,target_model,target_id,summary,payload,result
1,2026-06-04T14:56:38.449713+00:00,service.core.bootstrap_sample_documents,success,box_templates.documents,,django_consent_152fz.DocumentRevision,,"Bootstrap sample consent templates, policies and audience rules.","{""database"": ""default""}","{""created_access_policies"": 3, ""created_audience_rules"": 3, ""created_documents"": 10, ""created_purposes"": 7, ""created_revisions"": 10, ""existing_access_policies"": 0, ""existing_audience_rules"": 0, ""existing_purposes"": 1, ""existing_samples"": 0, ""items"": [{""document_code"": ""sample_personal_data_processing_policy"", ""key"": ""personal_data_processing_policy"", ""revision_id"": 1, ""status"": ""created""}, {""document_code"": ""sample_feedback_contact_consent"", ""key"": ""feedback_contact"", ""revision_id"": 2, ""status"": ""created""}, {""document_code"": ""sample_account_registration_consent"", ""key"": ""account_registration"", ""revision_id"": 3, ""status"": ""created""}, {""document_code"": ""sample_newsletter_subscription_consent"", ""key"": ""newsletter_subscription"", ""revision_id"": 4, ""status"": ""created""}, {""document_code"": ""sample_generic_webform_consent"", ""key"": ""generic_webform"", ""revision_id"": 5, ""status"": ""created""}, {""document_code"": ""sample_course_enrollment_consent"", ""key"": ""course_enrollment"", ""revision_id"": 6, ""status"": ""created""}, {""document_code"": ""sample_certificate_issue_consent"", ""key"": ""certificate_issue"", ""revision_id"": 7, ""status"": ""created""}, {""document_code"": ""sample_personal_data_notice"", ""key"": ""personal_data_notice"", ""revision_id"": 8, ""status"": ""created""}, {""document_code"": ""sample_service_terms_agreement"", ""key"": ""service_terms_agreement"", ""revision_id"": 9, ""status"": ""created""}, {""document_code"": ""sample_newsletter_topics_theme"", ""key"": ""newsletter_topics_theme"", ""revision_id"": 10, ""status"": ""created""}], ""skipped_existing_streams"": 0}"
2,2026-06-04T15:05:54.390044+00:00,demo.course_signup.submit,success,demo.course_signup.form,1,ConsentPurpose,course_enrollment,Course signup submitted.,"{""consent_required"": true, ""document_code"": ""sample_course_enrollment_consent""}","{""course_signup_id"": 1}"
